,channels,has_transaction,user_id,day,month,year,visitStartTime
159,Instagram,False,91,28,5,2020,2020-05-28
160,Google Display,True,281,17,9,2020,2020-09-17
161,Organic,False,602,2,9,2020,2020-09-02
162,Organic,False,258,9,7,2020,2020-07-09
163,Facebook,True,183,15,8,2020,2020-08-15
164,Organic,False,61,28,9,2020,2020-09-28
165,Google Search,True,181,10,4,2020,2020-04-10
166,Organic,False,254,20,3,2020,2020-03-20
167,Youtube,False,459,7,6,2020,2020-06-07
168,Google Display,True,523,14,12,2020,2020-12-14
169,Direct,False,80,17,4,2020,2020-04-17
170,Instagram,False,340,10,1,2020,2020-01-10
171,Google Search,False,461,21,5,2020,2020-05-21
172,Google Search,True,300,5,11,2020,2020-11-05
173,Direct,True,538,6,1,2020,2020-01-06
174,Organic,True,496,18,10,2020,2020-10-18
175,Google Search,True,568,9,8,2020,2020-08-09
176,Organic,False,102,2,5,2020,2020-05-02
177,Google Display,False,37,15,7,2020,2020-07-15
178,Google Display,True,574,2,10,2020,2020-10-02
179,Organic,False,389,28,7,2020,2020-07-28
180,Google Display,False,448,25,4,2020,2020-04-25
181,Youtube,True,598,14,5,2020,2020-05-14
182,Organic,True,132,22,11,2020,2020-11-22
183,Google Search,False,281,14,11,2020,2020-11-14
184,Google Search,False,473,8,7,2020,2020-07-08
185,Organic,True,549,23,5,2020,2020-05-23
186,Organic,True,664,22,5,2020,2020-05-22
187,Facebook,True,428,7,7,2020,2020-07-07
188,Instagram,False,452,26,7,2020,2020-07-26
189,Organic,False,232,20,7,2020,2020-07-20
190,Organic,False,538,12,8,2020,2020-08-12
191,Direct,True,27,12,3,2020,2020-03-12
192,Organic,True,459,19,4,2020,2020-04-19
193,Google Search,True,300,15,4,2020,2020-04-15
194,Organic,False,243,26,1,2020,2020-01-26
195,Google Display,False,551,14,1,2020,2020-01-14
196,Instagram,False,333,16,8,2020,2020-08-16
197,Organic,False,317,28,1,2020,2020-01-28
198,Organic,False,148,18,7,2020,2020-07-18
199,Organic,False,551,4,4,2020,2020-04-04
200,Facebook,True,531,11,6,2020,2020-06-11
201,Google Search,True,442,26,4,2020,2020-04-26
202,Facebook,False,355,15,2,2020,2020-02-15
203,Direct,False,193,9,8,2020,2020-08-09
204,Organic,False,174,24,6,2020,2020-06-24
205,Google Search,False,448,21,3,2020,2020-03-21
206,Direct,False,224,12,2,2020,2020-02-12
207,Direct,False,493,19,8,2020,2020-08-19
208,Google Search,False,481,1,7,2020,2020-07-01
209,Organic,False,429,15,3,2020,2020-03-15
210,Facebook,True,628,12,1,2020,2020-01-12
211,Youtube,False,625,28,7,2020,2020-07-28
212,Facebook,True,30,5,10,2020,2020-10-05
213,Google Search,True,584,27,1,2020,2020-01-27
214,Direct,False,39,23,1,2020,2020-01-23
215,Google Search,False,126,17,5,2020,2020-05-17
216,Facebook,False,87,24,6,2020,2020-06-24
217,Organic,False,390,1,10,2020,2020-10-01
218,Google Search,False,142,3,6,2020,2020-06-03
219,Organic,True,294,12,4,2020,2020-04-12
220,Google Search,False,565,26,6,2020,2020-06-26
221,Organic,False,371,1,10,2020,2020-10-01
222,Direct,True,215,10,1,2020,2020-01-10
223,Google Search,False,157,1,4,2020,2020-04-01
224,Organic,False,691,10,7,2020,2020-07-10
225,Email Marketing,False,224,4,9,2020,2020-09-04
226,Google Display,False,1,25,6,2020,2020-06-25
227,Google Display,True,222,16,10,2020,2020-10-16
228,Facebook,False,313,25,3,2020,2020-03-25
229,Direct,True,694,18,10,2020,2020-10-18
230,Google Search,False,151,11,12,2020,2020-12-11
231,Email Marketing,False,523,3,2,2020,2020-02-03
232,Organic,True,81,9,12,2020,2020-12-09
233,Google Display,False,327,14,9,2020,2020-09-14
234,Direct,False,502,28,10,2020,2020-10-28
235,Facebook,False,13,26,9,2020,2020-09-26
236,Email Marketing,False,221,27,1,2020,2020-01-27
237,Email Marketing,False,646,5,6,2020,2020-06-05
238,Organic,False,199,3,12,2020,2020-12-03
239,Google Search,False,208,23,6,2020,2020-06-23
240,Organic,True,195,21,8,2020,2020-08-21
241,Instagram,True,289,12,9,2020,2020-09-12
242,Facebook,False,479,10,8,2020,2020-08-10
243,Google Search,True,687,22,7,2020,2020-07-22
244,Facebook,False,45,28,9,2020,2020-09-28
245,Google Search,False,648,12,2,2020,2020-02-12
246,Google Search,False,544,28,2,2020,2020-02-28
247,Organic,True,310,6,6,2020,2020-06-06
248,Google Search,False,407,27,1,2020,2020-01-27
249,Google Search,False,188,6,12,2020,2020-12-06
250,Organic,True,562,25,3,2020,2020-03-25
251,Organic,True,504,17,12,2020,2020-12-17
252,Google Search,False,698,6,9,2020,2020-09-06
253,Organic,True,179,6,12,2020,2020-12-06
254,Organic,False,164,1,12,2020,2020-12-01
255,Organic,True,195,5,9,2020,2020-09-05
256,Organic,True,229,12,10,2020,2020-10-12
257,Google Search,True,591,9,6,2020,2020-06-09
258,Organic,False,194,16,10,2020,2020-10-16
259,Facebook,False,416,28,6,2020,2020-06-28
260,Organic,True,611,22,9,2020,2020-09-22
261,Youtube,False,682,7,5,2020,2020-05-07
262,Google Search,False,102,9,8,2020,2020-08-09
263,Instagram,True,272,28,1,2020,2020-01-28
264,Organic,False,582,28,12,2020,2020-12-28
265,Organic,True,500,22,3,2020,2020-03-22
266,Google Search,False,568,8,9,2020,2020-09-08
267,Google Search,False,368,27,1,2020,2020-01-27
268,Email Marketing,False,29,23,8,2020,2020-08-23
269,Youtube,False,419,21,7,2020,2020-07-21
270,Organic,False,40,28,2,2020,2020-02-28
271,Organic,False,118,3,5,2020,2020-05-03
272,Organic,True,349,25,10,2020,2020-10-25
273,Organic,True,465,16,11,2020,2020-11-16
274,Direct,False,404,4,8,2020,2020-08-04
275,Organic,False,575,19,4,2020,2020-04-19
276,Organic,True,393,2,9,2020,2020-09-02
277,Organic,True,675,21,7,2020,2020-07-21
278,Email Marketing,False,317,5,9,2020,2020-09-05
279,Organic,True,58,27,12,2020,2020-12-27
280,Google Search,False,441,18,7,2020,2020-07-18
281,Google Search,False,511,22,4,2020,2020-04-22
282,Organic,False,96,14,1,2020,2020-01-14
283,Organic,False,156,16,2,2020,2020-02-16
284,Facebook,False,149,21,9,2020,2020-09-21
285,Organic,True,559,28,6,2020,2020-06-28
286,Organic,False,638,9,8,2020,2020-08-09
287,Direct,True,631,17,10,2020,2020-10-17
288,Organic,True,266,11,9,2020,2020-09-11
289,Facebook,False,681,1,7,2020,2020-07-01
290,Organic,False,504,16,2,2020,2020-02-16
291,Organic,False,493,12,5,2020,2020-05-12
292,Direct,False,357,5,6,2020,2020-06-05
293,Google Display,True,449,7,10,2020,2020-10-07
294,Google Search,False,409,8,2,2020,2020-02-08
295,Instagram,False,537,27,4,2020,2020-04-27
296,Direct,True,247,10,2,2020,2020-02-10
297,Google Search,False,593,17,12,2020,2020-12-17
298,Direct,True,547,3,8,2020,2020-08-03
299,Facebook,False,575,26,11,2020,2020-11-26
300,Google Search,False,346,20,4,2020,2020-04-20
301,Instagram,False,621,28,7,2020,2020-07-28
302,Organic,False,597,1,10,2020,2020-10-01
303,Direct,True,109,20,8,2020,2020-08-20
304,Organic,False,548,9,12,2020,2020-12-09
305,Direct,False,469,10,6,2020,2020-06-10
306,Instagram,False,235,16,6,2020,2020-06-16
307,Organic,True,273,20,5,2020,2020-05-20
308,Google Search,True,167,22,12,2020,2020-12-22
309,Google Search,False,98,8,3,2020,2020-03-08
310,Direct,False,278,23,5,2020,2020-05-23
311,Organic,False,687,8,3,2020,2020-03-08
312,Facebook,False,125,4,12,2020,2020-12-04
313,Organic,False,61,20,3,2020,2020-03-20
314,Organic,False,226,26,1,2020,2020-01-26
315,Organic,True,500,17,6,2020,2020-06-17
316,Organic,False,73,3,4,2020,2020-04-03
317,Facebook,False,608,2,5,2020,2020-05-02
318,Google Search,False,429,25,10,2020,2020-10-25
319,Google Search,False,287,18,9,2020,2020-09-18
320,Organic,True,675,18,3,2020,2020-03-18
321,Google Search,True,87,7,5,2020,2020-05-07
322,Organic,False,225,20,2,2020,2020-02-20
323,Organic,True,134,25,7,2020,2020-07-25
324,Facebook,False,453,7,8,2020,2020-08-07
325,Google Search,True,418,15,7,2020,2020-07-15
326,Instagram,True,291,18,12,2020,2020-12-18
327,Organic,False,259,5,2,2020,2020-02-05
328,Instagram,False,448,4,12,2020,2020-12-04
329,Facebook,True,571,14,10,2020,2020-10-14
330,Direct,False,309,4,1,2020,2020-01-04
331,Youtube,False,199,19,5,2020,2020-05-19
332,Organic,False,577,15,6,2020,2020-06-15
333,Google Search,True,584,15,9,2020,2020-09-15
334,Organic,False,220,14,2,2020,2020-02-14
335,Google Display,False,520,23,1,2020,2020-01-23
336,Google Search,False,200,21,7,2020,2020-07-21
337,Google Search,True,60,11,1,2020,2020-01-11
338,Google Display,True,294,13,11,2020,2020-11-13
339,Google Search,True,526,13,3,2020,2020-03-13
340,Organic,True,683,18,1,2020,2020-01-18
341,Organic,True,152,18,12,2020,2020-12-18
342,Organic,False,439,5,12,2020,2020-12-05
343,Google Search,False,410,4,12,2020,2020-12-04
344,Instagram,False,590,6,3,2020,2020-03-06
345,Instagram,True,455,1,3,2020,2020-03-01
346,Google Search,True,541,4,2,2020,2020-02-04
347,Direct,False,548,17,4,2020,2020-04-17
348,Google Search,True,665,25,10,2020,2020-10-25
349,Google Search,True,640,23,4,2020,2020-04-23
350,Google Search,False,153,9,9,2020,2020-09-09
351,Facebook,True,25,17,11,2020,2020-11-17
352,Instagram,True,110,25,10,2020,2020-10-25
353,Organic,False,349,5,10,2020,2020-10-05
354,Facebook,True,209,25,4,2020,2020-04-25
355,Facebook,False,130,11,7,2020,2020-07-11
356,Facebook,True,173,22,12,2020,2020-12-22
357,Youtube,False,155,25,12,2020,2020-12-25
358,Facebook,False,26,25,2,2020,2020-02-25
359,Direct,False,479,23,8,2020,2020-08-23
360,Google Search,False,359,19,10,2020,2020-10-19
361,Google Search,True,60,11,9,2020,2020-09-11
362,Google Search,False,136,11,11,2020,2020-11-11
363,Youtube,True,86,1,9,2020,2020-09-01
364,Email Marketing,True,179,11,6,2020,2020-06-11
365,Organic,True,621,3,3,2020,2020-03-03
366,Direct,False,567,13,2,2020,2020-02-13
367,Organic,True,630,23,4,2020,2020-04-23
368,Facebook,False,545,6,1,2020,2020-01-06
369,Email Marketing,True,59,27,10,2020,2020-10-27
370,Organic,True,224,11,2,2020,2020-02-11
371,Organic,True,435,24,2,2020,2020-02-24
372,Direct,False,565,1,12,2020,2020-12-01
373,Organic,False,1,4,5,2020,2020-05-04
374,Instagram,True,544,18,12,2020,2020-12-18
375,Direct,False,698,16,11,2020,2020-11-16
376,Facebook,True,588,15,10,2020,2020-10-15
377,Facebook,False,271,11,2,2020,2020-02-11
378,Organic,False,340,11,4,2020,2020-04-11
379,Youtube,False,40,1,12,2020,2020-12-01
380,Facebook,False,560,27,3,2020,2020-03-27
381,Youtube,True,72,4,6,2020,2020-06-04
382,Organic,False,28,28,11,2020,2020-11-28
383,Facebook,True,275,14,9,2020,2020-09-14
384,Organic,False,332,17,3,2020,2020-03-17
385,Organic,False,450,4,1,2020,2020-01-04
386,Organic,True,447,26,7,2020,2020-07-26
387,Direct,False,525,24,5,2020,2020-05-24
388,Google Search,False,509,14,6,2020,2020-06-14
389,Youtube,False,603,22,8,2020,2020-08-22
390,Organic,True,649,6,9,2020,2020-09-06
391,Organic,False,317,20,5,2020,2020-05-20
392,Organic,False,595,1,10,2020,2020-10-01
393,Facebook,False,620,25,5,2020,2020-05-25
394,Google Search,True,102,23,11,2020,2020-11-23
395,Organic,False,270,7,8,2020,2020-08-07
396,Organic,True,593,22,12,2020,2020-12-22
397,Facebook,False,599,12,12,2020,2020-12-12
398,Google Search,True,5,5,7,2020,2020-07-05
399,Organic,False,69,9,10,2020,2020-10-09
400,Instagram,True,351,16,3,2020,2020-03-16
401,Facebook,False,157,7,3,2020,2020-03-07
402,Google Display,False,427,10,10,2020,2020-10-10
403,Google Search,False,539,4,3,2020,2020-03-04
404,Facebook,False,448,20,5,2020,2020-05-20
405,Google Display,False,322,12,7,2020,2020-07-12
406,Organic,False,435,5,1,2020,2020-01-05
407,Google Display,False,510,2,8,2020,2020-08-02
408,Organic,True,377,14,11,2020,2020-11-14
409,Facebook,False,23,7,6,2020,2020-06-07
410,Facebook,True,173,10,12,2020,2020-12-10
411,Organic,True,106,28,2,2020,2020-02-28
412,Direct,True,336,4,9,2020,2020-09-04
413,Organic,False,78,2,10,2020,2020-10-02
414,Instagram,False,253,10,6,2020,2020-06-10
415,Google Search,False,585,2,5,2020,2020-05-02
416,Instagram,False,449,12,11,2020,2020-11-12
417,Google Search,True,210,19,6,2020,2020-06-19
418,Google Display,False,150,3,10,2020,2020-10-03
419,Organic,True,62,22,4,2020,2020-04-22
420,Facebook,False,441,20,10,2020,2020-10-20
421,Organic,False,269,19,10,2020,2020-10-19
422,Google Display,False,3,20,6,2020,2020-06-20
423,Facebook,False,659,10,12,2020,2020-12-10
424,Facebook,True,251,26,7,2020,2020-07-26
425,Google Display,True,293,14,9,2020,2020-09-14
426,Organic,False,351,16,7,2020,2020-07-16
427,Organic,False,577,12,8,2020,2020-08-12
428,Facebook,False,509,12,11,2020,2020-11-12
429,Youtube,False,63,20,11,2020,2020-11-20
430,Facebook,True,520,1,8,2020,2020-08-01
431,Google Search,False,669,21,2,2020,2020-02-21
432,Google Search,False,381,7,3,2020,2020-03-07
433,Organic,True,190,7,11,2020,2020-11-07
434,Organic,False,117,23,8,2020,2020-08-23
435,Organic,False,64,15,2,2020,2020-02-15
436,Direct,True,646,27,4,2020,2020-04-27
437,Youtube,False,509,25,4,2020,2020-04-25
438,Instagram,False,97,21,2,2020,2020-02-21
439,Instagram,True,30,22,12,2020,2020-12-22
440,Google Search,True,238,23,5,2020,2020-05-23
441,Facebook,False,265,28,8,2020,2020-08-28
442,Google Search,False,613,16,8,2020,2020-08-16
443,Organic,False,619,21,7,2020,2020-07-21
444,Organic,True,688,21,9,2020,2020-09-21
445,Email Marketing,True,611,9,7,2020,2020-07-09
446,Facebook,False,63,9,11,2020,2020-11-09
447,Google Display,False,72,16,9,2020,2020-09-16
448,Google Search,True,131,7,12,2020,2020-12-07
449,Google Search,False,612,22,4,2020,2020-04-22
450,Organic,False,108,25,2,2020,2020-02-25
451,Google Search,False,170,9,11,2020,2020-11-09
452,Facebook,False,693,26,4,2020,2020-04-26
453,Google Search,False,149,8,6,2020,2020-06-08
454,Organic,True,594,8,9,2020,2020-09-08
455,Organic,False,593,14,3,2020,2020-03-14
456,Organic,True,585,20,7,2020,2020-07-20
457,Organic,False,293,4,8,2020,2020-08-04
458,Email Marketing,True,111,11,3,2020,2020-03-11
459,Google Search,False,652,1,4,2020,2020-04-01
460,Facebook,False,343,9,3,2020,2020-03-09
461,Instagram,False,25,16,4,2020,2020-04-16
462,Organic,False,179,19,8,2020,2020-08-19
463,Instagram,False,561,25,7,2020,2020-07-25
464,Email Marketing,False,348,15,9,2020,2020-09-15
465,Google Search,False,145,2,12,2020,2020-12-02
466,Organic,False,495,9,6,2020,2020-06-09
467,Direct,False,112,24,11,2020,2020-11-24
468,Youtube,True,245,12,4,2020,2020-04-12
469,Google Display,False,121,7,12,2020,2020-12-07
470,Facebook,True,405,12,1,2020,2020-01-12
471,Facebook,False,12,21,6,2020,2020-06-21
472,Google Search,False,34,13,6,2020,2020-06-13
473,Organic,True,514,6,6,2020,2020-06-06
474,Direct,False,70,20,10,2020,2020-10-20
475,Organic,True,384,17,9,2020,2020-09-17
476,Organic,False,288,13,5,2020,2020-05-13
477,Facebook,True,609,27,7,2020,2020-07-27
478,Facebook,True,683,19,11,2020,2020-11-19
479,Google Search,True,673,15,10,2020,2020-10-15
480,Direct,False,254,1,4,2020,2020-04-01
481,Facebook,False,398,15,4,2020,2020-04-15
482,Google Display,False,413,27,8,2020,2020-08-27
483,Organic,True,211,5,10,2020,2020-10-05
484,Organic,True,5,13,9,2020,2020-09-13
485,Instagram,False,600,16,3,2020,2020-03-16
486,Facebook,False,152,3,1,2020,2020-01-03
487,Organic,False,279,16,1,2020,2020-01-16
488,Facebook,False,173,14,2,2020,2020-02-14
489,Organic,False,156,19,7,2020,2020-07-19
490,Instagram,False,674,6,8,2020,2020-08-06
491,Google Display,True,369,7,12,2020,2020-12-07
492,Direct,False,665,26,8,2020,2020-08-26
493,Organic,True,566,18,2,2020,2020-02-18
494,Instagram,False,407,11,12,2020,2020-12-11
495,Google Search,True,335,27,6,2020,2020-06-27
496,Facebook,False,301,20,1,2020,2020-01-20
497,Organic,True,282,5,7,2020,2020-07-05
498,Organic,False,683,5,8,2020,2020-08-05
499,Google Search,False,11,21,7,2020,2020-07-21
500,Organic,False,391,6,6,2020,2020-06-06
501,Google Search,False,230,18,4,2020,2020-04-18
502,Organic,False,635,5,3,2020,2020-03-05
503,Organic,True,81,22,10,2020,2020-10-22
504,Facebook,True,102,23,11,2020,2020-11-23
505,Youtube,False,418,28,9,2020,2020-09-28
506,Organic,True,316,13,6,2020,2020-06-13
507,Google Search,True,262,14,10,2020,2020-10-14
508,Google Search,False,444,20,11,2020,2020-11-20
509,Google Display,False,512,28,6,2020,2020-06-28
510,Organic,False,601,20,2,2020,2020-02-20
511,Facebook,False,491,7,9,2020,2020-09-07
512,Organic,True,173,6,5,2020,2020-05-06
513,Instagram,True,559,18,11,2020,2020-11-18
514,Instagram,False,444,11,11,2020,2020-11-11
515,Organic,False,149,17,4,2020,2020-04-17
516,Google Display,False,319,14,9,2020,2020-09-14
517,Organic,False,474,12,6,2020,2020-06-12
518,Organic,True,220,21,2,2020,2020-02-21
519,Google Search,True,54,28,2,2020,2020-02-28
520,Organic,True,577,27,2,2020,2020-02-27
521,Youtube,True,10,11,3,2020,2020-03-11
522,Google Search,True,16,23,9,2020,2020-09-23
523,Organic,False,45,27,1,2020,2020-01-27
524,Direct,False,557,11,11,2020,2020-11-11
525,Organic,True,395,26,1,2020,2020-01-26
526,Facebook,False,564,26,12,2020,2020-12-26
527,Organic,True,444,25,11,2020,2020-11-25
528,Youtube,False,321,6,12,2020,2020-12-06
529,Facebook,True,66,3,3,2020,2020-03-03
530,Organic,True,654,6,11,2020,2020-11-06
531,Organic,False,211,12,12,2020,2020-12-12
532,Google Search,False,199,24,8,2020,2020-08-24
533,Organic,True,589,13,9,2020,2020-09-13
534,Organic,False,314,15,12,2020,2020-12-15
535,Organic,False,376,14,10,2020,2020-10-14
536,Organic,False,187,28,4,2020,2020-04-28
537,Google Search,False,113,3,3,2020,2020-03-03
538,Google Search,True,400,16,1,2020,2020-01-16
539,Organic,False,300,16,11,2020,2020-11-16
540,Direct,False,448,27,10,2020,2020-10-27
541,Organic,False,454,6,9,2020,2020-09-06
542,Direct,True,614,21,7,2020,2020-07-21
543,Google Search,False,421,24,9,2020,2020-09-24
544,Organic,True,254,25,10,2020,2020-10-25
545,Google Search,True,531,21,4,2020,2020-04-21
546,Facebook,False,467,1,10,2020,2020-10-01
547,Facebook,True,587,8,6,2020,2020-06-08
548,Google Display,False,146,28,12,2020,2020-12-28
549,Email Marketing,True,92,24,9,2020,2020-09-24
550,Facebook,False,691,23,9,2020,2020-09-23
551,Facebook,False,215,19,8,2020,2020-08-19
552,Google Search,True,61,20,9,2020,2020-09-20
553,Organic,False,425,19,4,2020,2020-04-19
554,Organic,False,245,18,12,2020,2020-12-18
555,Google Search,True,46,11,3,2020,2020-03-11
556,Google Search,False,454,17,3,2020,2020-03-17
557,Youtube,False,112,22,9,2020,2020-09-22
558,Organic,True,161,25,10,2020,2020-10-25
559,Facebook,False,392,8,6,2020,2020-06-08
560,Organic,False,132,22,10,2020,2020-10-22
561,Direct,True,118,15,5,2020,2020-05-15
562,Google Display,True,181,2,12,2020,2020-12-02
563,Google Display,True,313,13,10,2020,2020-10-13
564,Organic,False,203,2,3,2020,2020-03-02
565,Facebook,False,556,23,11,2020,2020-11-23
